"KREIS";"GEMEINDE";"TYP";"HERSTELLER";"NABENHOEHE";"ROTORDURCHMESSER";"SCHALLLEISTUNGSPEGEL";"LEISTUNG";"LEISTUNGSBEZUG";"OSTWERT";"NORDWERT";"GENEHMIGT_AM";"INBETRIEBNAHME";"STATUS";"BST_NR";"ANL_NR";"DATENDATUM";"DATENQUELLE"
"Dithmarschen";"Brunsbüttel";"Repower MD 70/1,5MW";"REpower";"65";"70";"104";1500;"kW Nennleist. Rotor.";32512539;5971405;07.10.2003;18.05.2004;"in Betrieb";"51011515468";"0002";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"AN Bonus 37";"AN BONUS";"42,3";"37";"99";500;"kW Nennleist. Rotor.";32511982;5971375;18.10.1993;17.02.1994;"in Betrieb";"51011515470";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Vestas V80 2,0MW";"Vestas";"60";"80";"101,5";2000;"kW Nennleist. Rotor.";32506117;5975955;07.07.2003;31.12.2004;"in Betrieb";"51011515473";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Vestas V80";"Vestas";"60";"80";"101,5";2000;"kW Nennleist. Rotor.";32506311;5975797;07.07.2003;31.12.2004;"in Betrieb";"51011515473";"0002";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Vestas V80";"Vestas";"60";"80";"101,5";2000;"kW Nennleist. Rotor.";32506518;5975637;07.07.2003;31.12.2004;"in Betrieb";"51011515473";"0003";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Vestas V80";"Vestas";"60";"80";"101,5";2000;"kW Nennleist. Rotor.";32506772;5975360;07.07.2003;31.12.2004;"in Betrieb";"51011515473";"0004";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Vestas V80";"Vestas";"60";"80";"101,5";2000;"kW Nennleist. Rotor.";32506990;5975522;07.07.2003;31.12.2004;"in Betrieb";"51011515473";"0005";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Vestas V80";"Vestas";"60";"80";"101,5";2000;"kW Nennleist. Rotor.";32506804;5975689;07.07.2003;31.12.2004;"in Betrieb";"51011515473";"0006";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Vestas V80";"Vestas";"60";"80";"101,5";2000;"kW Nennleist. Rotor.";32506538;5975926;07.07.2003;31.12.2004;"in Betrieb";"51011515473";"0007";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Vestas V80";"Vestas";"60";"80";"101,5";2000;"kW Nennleist. Rotor.";32506357;5976107;07.07.2003;31.12.2004;"in Betrieb";"51011515473";"0008";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Vestas V80";"Vestas";"60";"80";"101,5";2000;"kW Nennleist. Rotor.";32506587;5976235;07.07.2003;31.12.2004;"in Betrieb";"51011515473";"0009";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Vestas V80";"Vestas";"60";"80";"101,5";2000;"kW Nennleist. Rotor.";32506850;5976338;07.07.2005;31.12.2004;"in Betrieb";"51011515473";"0010";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon E66 1,5 MW";"Enercon";"68";"66";"103";1500;"kW Nennleist. Rotor.";32513990;5971806;11.09.1995;27.03.1997;"in Betrieb";"51011515479";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"AN Bonus 2MW/76";"AN BONUS";"80";"76";"106";2000;"kW Nennleist. Rotor.";32513600;5971660;22.05.2001;01.02.2002;"in Betrieb";"51011515486";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Micon M2300 1MW";"Micon";"60";"54";"103,7 dB(A)";1000;"kW Nennleist. Rotor.";32513562;5971428;25.02.1997;01.04.1997;"in Betrieb";"51011515487";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA AN Bonus";"AN BONUS";"50";"52";"105,5 dB(A)";1000;"kW Nennleist. Rotor.";32513814;5971430;31.12.1899;31.12.1899;"in Betrieb";"51011515487";"0002";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Nordex 52/800";"Nordex";"60";"52";"105,4 dB(A)/105,4 dB(A)";800;"kW Nennleist. Rotor.";32507077;5973990;30.03.1994;20.04.1995;"in Betrieb";"51011515507";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon E82";"Enercon";"98";"82";"104dB(A) tags; 103 dB(A) nachts";2000;"kW Nennleist. Rotor.";32504289;5972822;20.12.2007;26.11.2010;"in Betrieb";"51011515520";"0018";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA 1 Enercon E82 E2 2,3 MW";"Enercon";"78";"82";"105,0";2300;"kW Nennleist. Rotor.";32505270;5974480;12.03.2013;11.12.2013;"in Betrieb";"51011900017";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA Enercon E82";"Enercon";"78";"82";"105";2300;"kW Nennleist. Rotor.";32505162;5973965;12.03.2013;19.12.2013;"in Betrieb";"51011900017";"0002";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA Enercon E82 E2";"Enercon";"78";"82";"105";2300;"kW Nennleist. Rotor.";32505493;5974142;12.03.2013;19.12.2013;"in Betrieb";"51011900017";"0003";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA Enercon E82 E2";"Enercon";"78";"82";"100,5";2300;"kW Nennleist. Rotor.";32505586;5973697;12.03.2013;20.11.2013;"in Betrieb";"51011900017";"0004";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA Enercon E82 E2";"Enercon";"78";"82";"100,5";2300;"kW Nennleist. Rotor.";32505747;5973517;12.03.2013;25.11.2013;"in Betrieb";"51011900017";"0005";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"Enercon E101";"Enercon";"99";"101";"107 dB(A) / 99,3dB(A)";3050;"kW Nennleist. Rotor.";32507063;5975264;31.07.2014;13.07.2015;"in Betrieb";"51011900019";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA 4 REpower 3.4 M";"REpower";"80";"104";"105,6 dB(A)/ 100 dB(A)";3400;"kW Nennleist. Rotor.";32505594;5974952;01.08.2014;23.10.2015;"in Betrieb";"51011900021";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA 4 Nordex N100";"Nordex";"100";"99,8";"105,5 dB(A) / 104,5 dB(A)";3300;"kW Nennleist. Rotor.";32507221;5974963;13.04.2015;26.06.2016;"in Betrieb";"51011900024";"0004";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Brunsbüttel";"WKA 1 Nordex N100-3.3MW";"Nordex";"100";"99,8";"105,5dB(A) / 101,0dB(A)";3300;"kW Nennleist. Rotor.";32507868;5975625;02.06.2015;29.06.2016;"in Betrieb";"51011900026";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
